course_id,coupon_type,coupon_code,start_date,start_time,custom_price
6981353,custom_price,2026-08-06,2026-08-06,0:00,1500
6691241,custom_price,2026-08-06,2026-08-06,0:00,1500
6769253,custom_price,2026-08-06,2026-08-06,0:00,1500
6732543,custom_price,2026-08-06,2026-08-06,0:00,1500
6739725,custom_price,2026-08-06,2026-08-06,0:00,1500
6782117,custom_price,2026-08-06,2026-08-06,0:00,1500
6783611,custom_price,2026-08-06,2026-08-06,0:00,1500
6823465,custom_price,2026-08-06,2026-08-06,0:00,1500
6827941,custom_price,2026-08-06,2026-08-06,0:00,1500
6801509,custom_price,2026-08-06,2026-08-06,0:00,1500
6851913,custom_price,2026-08-06,2026-08-06,0:00,1500
6826831,custom_price,2026-08-06,2026-08-06,0:00,1500
6772961,custom_price,2026-08-06,2026-08-06,0:00,1500
6536597,custom_price,2026-08-06,2026-08-06,0:00,1500
6387599,custom_price,2026-08-06,2026-08-06,0:00,1500
6327241,custom_price,2026-08-06,2026-08-06,0:00,1500
